cdCliente,cdProduto,cdVendedor,valor,dtVenda
100,1690,1,820,09/02/2020
115,1597,7,712,17/02/2020
103,1866,4,690,22/03/2020
101,1958,4,727,12/01/2020
138,1901,5,777,12/02/2020
190,1830,5,656,12/03/2020
162,1765,1,126,21/03/2020
198,1391,2,379,30/01/2020
165,1572,2,861,26/03/2020
180,1532,9,797,03/02/2020
127,1764,8,645,25/01/2020
126,1581,9,593,18/02/2020
160,1312,3,324,20/02/2020
150,1891,9,611,16/03/2020
102,1771,1,667,24/03/2020
183,1654,3,357,26/01/2020
148,1394,3,978,21/02/2020
160,1584,8,986,19/02/2020
111,1269,3,364,03/01/2020
169,1607,10,394,12/01/2020
159,1234,5,757,28/02/2020
144,1602,10,620,12/03/2020
172,1332,6,981,07/01/2020
189,1888,5,903,07/03/2020
122,1698,7,706,05/03/2020
122,1997,9,827,20/01/2020
104,1594,4,612,24/01/2020
138,1531,10,952,06/03/2020
103,1884,6,70,25/03/2020
147,1259,2,624,26/01/2020
199,1549,7,838,11/03/2020
161,1429,6,33,26/01/2020
184,1646,2,793,07/02/2020
115,1881,10,852,10/02/2020
135,1675,5,781,24/03/2020
181,1919,6,310,25/01/2020
157,1286,8,452,18/03/2020
177,1870,10,912,25/01/2020
145,1655,6,758,17/03/2020
176,1661,7,986,23/03/2020
171,1705,5,877,24/03/2020
139,1732,3,373,07/02/2020
139,1860,4,237,18/02/2020
168,1940,10,886,01/01/2020
196,1564,6,305,06/01/2020
110,1371,4,537,26/03/2020
129,1514,1,251,19/01/2020
198,1416,10,135,16/01/2020
125,1879,6,64,13/01/2020
114,1396,1,846,25/02/2020
135,1206,5,42,17/02/2020
130,1543,2,251,06/03/2020
168,1832,7,408,18/01/2020
123,1540,2,45,07/02/2020
130,1739,6,933,04/03/2020
159,1856,10,454,29/02/2020
182,1213,10,758,17/02/2020
172,1723,6,916,02/03/2020
176,1319,10,587,09/02/2020
163,1970,1,414,01/01/2020
112,1768,1,351,26/03/2020
150,1802,3,852,19/02/2020
164,1661,8,244,01/03/2020
156,1860,6,496,29/01/2020
165,1924,9,792,17/01/2020
139,1556,10,560,07/03/2020
112,1273,10,194,05/01/2020
137,1500,5,562,27/01/2020
161,1691,1,412,17/03/2020
124,1268,8,858,15/02/2020
111,1752,5,244,28/01/2020
161,1360,9,155,04/02/2020
154,1265,1,571,20/02/2020
126,1531,5,703,16/02/2020
104,1233,6,640,02/02/2020
115,1825,1,697,26/03/2020
182,1660,1,278,10/01/2020
144,1690,8,165,03/03/2020
127,1847,1,379,18/02/2020
128,1720,9,577,02/01/2020
181,1915,4,366,03/03/2020
179,1343,6,571,29/02/2020
129,1878,5,166,25/01/2020
108,1724,10,125,28/01/2020
165,1630,6,621,12/02/2020
109,1875,8,159,26/03/2020
183,1440,8,224,31/01/2020
167,1822,4,861,12/03/2020
107,1646,10,318,05/02/2020
196,1250,8,126,21/01/2020
195,1696,9,880,19/01/2020
147,1481,8,210,16/01/2020
124,1593,5,828,11/02/2020
148,1811,2,456,20/03/2020
158,1207,10,960,14/03/2020
119,1380,2,341,29/01/2020
158,1713,3,773,15/01/2020
132,1658,5,70,03/02/2020
171,1419,4,833,08/03/2020
126,1728,10,274,27/03/2020
