cdCliente,cdProduto,cdVendedor,valor,dtVenda
112,1746,2,974,06/01/2020
187,1465,4,587,14/02/2020
100,1382,3,389,10/01/2020
148,1748,7,606,22/01/2020
148,1600,2,747,22/02/2020
138,1840,10,699,17/02/2020
138,1421,2,672,26/03/2020
140,1260,5,993,03/01/2020
103,1944,3,90,05/03/2020
188,1726,5,657,19/02/2020
126,1830,8,396,05/01/2020
176,1890,6,817,05/02/2020
107,1527,8,504,09/02/2020
200,1926,5,3,20/03/2020
110,1918,7,689,16/03/2020
171,1270,8,538,14/03/2020
168,1595,2,685,20/02/2020
131,1328,1,378,08/01/2020
190,1626,10,341,17/03/2020
163,1944,9,737,12/01/2020
150,1318,1,761,07/01/2020
193,1439,5,504,21/03/2020
166,1748,5,872,23/03/2020
140,1748,3,742,09/03/2020
138,1923,1,325,03/03/2020
144,1662,6,625,10/03/2020
183,1972,4,381,06/03/2020
125,1625,1,841,13/02/2020
135,1783,9,217,26/03/2020
147,1356,9,27,01/01/2020
102,1588,10,108,28/02/2020
127,1890,6,932,15/03/2020
118,1899,6,425,17/03/2020
167,1960,8,175,11/03/2020
125,1374,10,550,06/01/2020
132,1287,6,279,12/03/2020
158,1806,9,358,13/01/2020
144,1581,7,196,12/03/2020
109,1341,8,821,16/01/2020
171,1997,4,539,20/02/2020
151,1780,5,161,28/01/2020
174,1638,10,721,07/03/2020
129,1647,2,623,05/01/2020
185,1297,10,783,27/02/2020
148,1821,1,812,16/03/2020
162,1459,7,904,15/02/2020
150,1731,1,584,12/01/2020
171,1263,7,434,04/03/2020
193,1845,1,600,29/02/2020
128,1655,9,329,13/01/2020
200,1356,3,248,01/01/2020
163,1462,8,569,14/02/2020
155,1809,7,95,17/03/2020
127,1283,5,940,17/01/2020
108,1484,7,495,17/01/2020
166,1524,4,281,27/01/2020
103,1969,2,204,13/02/2020
158,1846,5,408,18/01/2020
192,1421,2,53,27/02/2020
147,1453,1,429,28/01/2020
190,1600,3,195,04/01/2020
119,1702,9,372,08/03/2020
165,1251,7,532,24/03/2020
174,1700,7,705,10/01/2020
134,1838,6,380,06/01/2020
199,1984,9,356,06/02/2020
197,1971,10,307,24/01/2020
147,1658,4,747,05/03/2020
119,1989,9,252,05/01/2020
162,1385,6,86,09/01/2020
153,1961,8,543,06/01/2020
115,1947,4,913,13/02/2020
130,1940,8,603,29/01/2020
104,1625,9,334,15/02/2020
164,1272,4,39,06/01/2020
152,1848,8,36,24/03/2020
187,1727,7,936,24/01/2020
183,1929,5,24,03/02/2020
125,1789,4,54,04/01/2020
118,1681,8,902,31/01/2020
148,1873,5,70,25/01/2020
177,1311,7,218,13/01/2020
138,1837,4,417,17/02/2020
145,1345,1,51,31/01/2020
100,1251,10,461,02/03/2020
182,1367,5,145,08/01/2020
127,1241,5,667,18/03/2020
194,1438,3,226,05/01/2020
174,1740,4,289,27/01/2020
129,1628,8,885,22/03/2020
168,1675,8,804,01/02/2020
172,1847,4,319,27/03/2020
182,1783,2,249,02/01/2020
193,1848,4,520,11/01/2020
185,1999,3,2,15/03/2020
163,1729,8,892,23/02/2020
143,1770,10,36,29/01/2020
120,1507,1,577,06/01/2020
148,1770,2,729,16/01/2020
197,1786,8,414,08/02/2020
