cdCliente,cdProduto,cdVendedor,valor,dtVenda
108,1207,10,109,01/02/2020
186,1916,5,457,14/02/2020
124,1906,3,267,11/03/2020
111,1571,6,600,30/01/2020
181,1984,8,176,20/01/2020
114,1796,3,892,24/02/2020
189,1526,9,621,13/02/2020
190,1265,10,11,12/01/2020
179,1873,3,575,13/02/2020
170,1763,10,138,18/01/2020
141,1920,8,676,03/03/2020
116,1209,9,796,10/02/2020
185,1677,2,650,19/01/2020
105,1594,4,404,13/03/2020
145,1452,3,101,18/02/2020
123,1449,2,965,03/03/2020
160,1427,2,451,17/03/2020
107,1215,5,72,21/02/2020
169,1532,2,108,25/01/2020
133,1834,3,981,10/02/2020
138,1577,1,709,12/02/2020
153,1261,7,334,05/02/2020
124,1476,1,152,13/03/2020
186,1567,5,779,11/02/2020
129,1903,7,304,06/03/2020
171,1261,6,217,19/02/2020
182,1550,8,283,17/02/2020
166,1570,5,85,19/01/2020
172,1934,1,853,28/02/2020
186,1839,8,919,23/01/2020
135,1461,8,225,02/02/2020
142,1953,9,6,21/01/2020
192,1384,6,293,01/03/2020
169,1507,4,966,18/02/2020
188,1332,8,75,11/01/2020
197,1525,1,959,25/03/2020
139,1526,10,494,19/03/2020
162,1597,6,281,23/02/2020
183,1296,9,474,17/02/2020
136,1853,7,441,25/03/2020
124,1322,3,173,08/03/2020
165,1224,8,787,19/03/2020
164,1758,2,604,08/02/2020
119,1586,8,956,13/02/2020
185,1362,2,747,16/03/2020
174,1708,10,596,24/02/2020
172,1315,1,841,11/01/2020
156,1273,9,682,02/01/2020
154,1861,7,648,11/03/2020
160,1777,2,968,29/01/2020
172,1353,4,485,17/02/2020
143,1816,4,361,09/02/2020
189,1207,8,710,12/03/2020
113,1537,8,20,08/03/2020
137,1947,6,78,09/02/2020
114,1914,4,510,09/01/2020
173,1872,4,948,11/02/2020
102,1987,7,83,04/02/2020
113,1728,10,665,11/02/2020
170,1654,1,321,11/01/2020
166,1747,2,805,29/01/2020
147,1285,8,186,02/01/2020
131,1288,4,711,19/03/2020
108,1988,5,534,01/02/2020
140,1739,7,513,10/02/2020
189,1220,1,646,14/02/2020
151,1678,7,566,06/01/2020
165,1766,9,624,16/02/2020
109,1337,7,659,25/03/2020
194,1515,1,514,11/02/2020
174,1659,9,210,27/01/2020
140,1253,4,293,17/01/2020
111,1837,6,464,13/03/2020
151,1977,4,511,10/03/2020
104,1367,8,145,29/02/2020
141,1344,2,187,25/03/2020
168,1283,8,278,16/02/2020
175,1475,10,126,14/02/2020
116,1450,8,722,22/03/2020
140,1476,7,758,11/01/2020
121,1938,2,518,27/02/2020
112,1533,8,165,04/01/2020
116,1908,6,584,03/03/2020
118,1625,1,717,23/02/2020
153,1908,4,184,15/01/2020
121,1823,10,828,26/03/2020
113,1539,1,330,14/02/2020
168,1615,3,699,02/02/2020
146,1282,3,153,29/01/2020
192,1728,6,464,18/02/2020
153,1335,9,764,07/02/2020
141,1734,4,347,03/03/2020
124,1334,10,305,27/01/2020
200,1363,7,997,23/03/2020
120,1725,7,403,26/01/2020
148,1207,1,595,27/02/2020
195,1688,5,640,07/02/2020
148,1297,2,976,06/03/2020
118,1517,9,595,22/03/2020
141,1812,3,743,01/01/2020
